Airport ID,Name,City,Country,IATA,ICAO,Latitude,Longitude,Altitude,Timezone,DST,Timezone Region
4309,Ancona Falconara Airport,Ancona,Italy,AOI,LIPY,43.616299,13.3623,49,1,E,Europe/Rome
4313,Taba International Airport,Taba,Egypt,TCP,HETB,29.58779907,34.77809906,2415,2,U,Africa/Cairo
4314,Edward Bodden Airfield,Little Cayman,Cayman Islands,LYB,MWCL,19.660161,-80.088826,3,-5,N,America/Cayman
4315,Milas Bodrum International Airport,Bodrum,Turkey,BJV,LTFE,37.25059891,27.66430092,21,3,E,Europe/Istanbul
4316,Tabarka 7 Novembre Airport,Tabarka,Tunisia,TBJ,DTKA,36.97999954,8.876939774,230,1,E,Africa/Tunis
4317,Sabiha Gökçen International Airport,Istanbul,Turkey,SAW,LTFJ,40.89860153,29.30920029,312,3,E,Europe/Istanbul
4318,University Park Airport,State College Pennsylvania,United States,SCE,KUNV,40.84930038,-77.84870148,1239,-5,A,America/New_York
4319,Broome International Airport,Broome,Australia,BME,YBRM,-17.94470024,122.2320023,56,8,O,Australia/Perth
4320,Newcastle Airport,Newcastle,Australia,NTL,YWLM,-32.79499817,151.8339996,31,10,O,Australia/Sydney
4322,Klagenfurt Airport,Klagenfurt,Austria,KLU,LOWK,46.642502,14.3377,1472,1,E,Europe/Vienna
4325,Hammerfest Airport,Hammerfest,Norway,HFT,ENHF,70.67970276,23.66860008,266,1,E,Europe/Oslo
4326,Valan Airport,Honningsvag,Norway,HVG,ENHV,71.00969696,25.98360062,44,1,E,Europe/Oslo
4327,Mehamn Airport,Mehamn,Norway,MEH,ENMH,71.02970123,27.82670021,39,1,E,Europe/Oslo
4328,Vadsø Airport,Vadsø,Norway,VDS,ENVD,70.06529999,29.84469986,127,1,E,Europe/Oslo
4330,Imam Khomeini International Airport,Tehran,Iran,IKA,OIIE,35.41609955,51.15219879,3305,3.5,E,Asia/Tehran
4331,Mashhad International Airport,Mashhad,Iran,MHD,OIMM,36.23519897,59.64099884,3263,3.5,E,Asia/Tehran
4333,Ust-Ilimsk Airport,Ust Ilimsk,Russia,UIK,UIBS,58.13610077,102.5650024,1339,8,N,Asia/Irkutsk
4335,Key Field,Meridian,United States,MEI,KMEI,32.33259964,-88.75189972,297,-6,A,America/Chicago
4336,Abraham Lincoln Capital Airport,Springfield,United States,SPI,KSPI,39.84410095,-89.67790222,598,-6,A,America/Chicago
4338,Cortez Municipal Airport,Cortez,United States,CEZ,KCEZ,37.3030014,-108.6279984,5918,-7,A,America/Denver
4339,Yampa Valley Airport,Hayden,United States,HDN,KHDN,40.48120117,-107.2180023,6606,-7,A,America/Denver
4340,Gallup Municipal Airport,Gallup,United States,GUP,KGUP,35.51110077,-108.7890015,6472,-7,A,America/Denver
4341,Liberal Mid-America Regional Airport,Liberal,United States,LBL,KLBL,37.0442009,-100.9599991,2885,-6,A,America/Chicago
4342,Lamar Municipal Airport,Lamar,United States,LAA,KLAA,38.06969833,-102.6880035,3706,-7,A,America/Denver
4343,Renner Field-Goodland Municipal Airport,Goodland,United States,GLD,KGLD,39.37060165,-101.6989975,3656,-7,A,America/Denver
4344,Yellowstone Regional Airport,Cody,United States,COD,KCOD,44.52019882,-109.0240021,5102,-7,A,America/Denver
4345,Ørsta-Volda Airport Hovden,Orsta-Volda,Norway,HOV,ENOV,62.18000031,6.074100018,243,1,E,Europe/Oslo
4347,St. Mary's Airport,ST MARY\'S,United Kingdom,ISC,EGHE,49.91329956,-6.291669846,116,0,E,Europe/London
4348,Springfield Branson National Airport,Springfield,United States,SGF,KSGF,37.24570084,-93.38860321,1268,-6,A,America/Chicago
4349,Narvik Framnes Airport,Narvik,Norway,NVK,ENNK,68.43689728,17.38669968,95,1,E,Europe/Oslo
4350,Berlevåg Airport,Berlevag,Norway,BVG,ENBV,70.871399,29.034201,42,1,E,Europe/Oslo
4351,Oslo Fornebu Airport,Oslo,Norway,FBU,ENFB,59.89580154,10.6171999,0,1,E,Europe/Oslo
4352,Norilsk-Alykel Airport,Norilsk,Russia,NSK,UOOO,69.31109619,87.3321991,574,7,N,Asia/Krasnoyarsk
4353,Anapa Vityazevo Airport,Anapa,Russia,AAQ,URKA,45.0021019,37.34730148,174,3,N,Europe/Moscow
4354,Joplin Regional Airport,Joplin,United States,JLN,KJLN,37.15179825,-94.49829865,981,-6,A,America/Chicago
4355,Lehigh Valley International Airport,Allentown,United States,ABE,KABE,40.65209961,-75.44080353,393,-5,A,America/New_York
4356,Northwest Arkansas Regional Airport,Bentonville,United States,XNA,KXNA,36.281898,-94.306801,1287,-6,A,America/Chicago
4357,Atyrau Airport,Atyrau,Kazakhstan,GUW,UATG,47.12189865,51.82139969,-72,5,U,Asia/Oral
4358,Kzyl-Orda Southwest Airport,Kzyl-Orda,Kazakhstan,KZO,UAOO,44.706902,65.592499,433,6,U,Asia/Qyzylorda
4359,South Bend Regional Airport,South Bend,United States,SBN,KSBN,41.70869827,-86.31729889,799,-5,A,America/New_York
4360,Bykovo Airport,Moscow,Russia,BKA,UUBB,55.61719894,38.06000137,427,3,N,Europe/Moscow
4362,Talagi Airport,Arkhangelsk,Russia,ARH,ULAA,64.60030365,40.71670151,62,3,N,Europe/Moscow
4363,Saratov Central Airport,Saratov,Russia,RTW,UWSS,51.56499863,46.04669952,499,3,N,Europe/Moscow
4364,Novy Urengoy Airport,Novy Urengoy,Russia,NUX,USMU,66.06939697,76.52030182,210,5,N,Asia/Yekaterinburg
4365,Noyabrsk Airport,Noyabrsk,Russia,NOJ,USRO,63.18330002,75.26999664,446,5,N,Asia/Yekaterinburg
4367,Aktau Airport,Aktau,Kazakhstan,SCO,UATE,43.8601,51.091999,73,5,U,Asia/Oral
4368,Ukhta Airport,Ukhta,Russia,UCT,UUYH,63.56689835,53.80469894,482,3,N,Europe/Moscow
4369,Usinsk Airport,Usinsk,Russia,USK,UUYS,66.00469971,57.36719894,262,3,N,Europe/Moscow
4370,Pechora Airport,Pechora,Russia,PEX,UUYP,65.12110138,57.13079834,98,3,N,Europe/Moscow
4371,Naryan Mar Airport,Naryan-Mar,Russia,NNM,ULAM,67.63999939,53.12189865,36,3,N,Europe/Moscow
4372,Pskov Airport,Pskov,Russia,PKV,ULOO,57.78390121,28.39559937,154,3,N,Europe/Moscow
4373,Kogalym International Airport,Kogalym,Russia,KGP,USRK,62.19039917,74.53379822,220,5,N,Asia/Yekaterinburg
4374,Yemelyanovo Airport,Krasnoyarsk,Russia,KJA,UNKL,56.172901,92.493301,942,7,N,Asia/Krasnoyarsk
4375,Sary-Arka Airport,Karaganda,Kazakhstan,KGF,UAKK,49.67079926,73.33439636,1765,6,U,Asia/Qyzylorda
4377,Uray Airport,Uraj,Russia,URJ,USHU,60.10329819,64.8266983,190,5,N,Asia/Yekaterinburg
4379,Ivanovo South Airport,Ivanovo,Russia,IWA,UUBI,56.93939972,40.94079971,410,3,N,Europe/Moscow
4380,Longjia Airport,Changchun,China,CGQ,ZYCC,43.99620056,125.6849976,706,8,U,Asia/Shanghai
4381,Niigata Airport,Niigata,Japan,KIJ,RJSN,37.95589828,139.1210022,29,9,U,Asia/Tokyo
4382,Johnston Atoll Airport,Johnston Island,Johnston Atoll,JON,PJON,16.72859955,-169.5339966,7,-10,U,Pacific/Johnston
4383,Smith Field,Fort Wayne IN,United States,SMD,KSMD,41.14339828,-85.15280151,835,-5,A,America/New_York
4384,California Redwood Coast-Humboldt County Airport,Arcata CA,United States,ACV,KACV,40.978101,-124.109,221,-8,A,America/Los_Angeles
4386,Albert J Ellis Airport,Jacksonville NC,United States,OAJ,KOAJ,34.82920074,-77.61209869,94,-5,A,America/New_York
